,Date,Model Name,Parameters,Evaluation Name,Threshold,Result
2593,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 30, Learning Rate: 1.0",Recall,Threshold: 0.3,1
2599,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.2,1
2602,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.02,1
2605,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.05,1
2608,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.1,1
2611,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.01,1
2615,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 10, Learning Rate: 2.0",Recall,Threshold: 0.3,1
2621,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.2,1
2624,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.02,1
2627,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.05,1
2630,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.1,1
2633,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.01,1
2637,2012-12-27 00:00:00 - 2013-06-25 00:00:00,Ada Boosting,"Estimators: 100, Learning Rate: 1.0",Recall,Threshold: 0.3,1
